title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
辰川会館（旧辰川小学校）,呉市東辰川町6-32,34.25766647,132.5722682,large,#FF0000,#FFFFFF,2
つばき会館,呉市中央6丁目2-9,34.250093,132.566474,large,#FF0000,#FFFFFF,2
呉中央小学校,呉市西中央4丁目10-52,34.25227262,132.5598443,large,#FF0000,#FFFFFF,2
呉中央中学校,呉市西中央4丁目10-52,34.25227262,132.5598443,large,#FF0000,#FFFFFF,2
港町小学校,呉市海岸3丁目5-30,34.24833287,132.5425628,large,#FF0000,#FFFFFF,2
山手１丁目集会所,呉市山手1丁目23-16,34.25456499,132.5596806,large,#FF0000,#FFFFFF,2
長迫小学校,呉市長迫町12-5,34.249776,132.577549,large,#FF0000,#FFFFFF,2
東畑中学校,呉市東畑2丁目7-38,34.25339221,132.5879163,large,#FF0000,#FFFFFF,2
片山中学校,呉市東片山町13-5,34.254298,132.566267,large,#FF0000,#FFFFFF,2
本通小学校,呉市寺本町1-10,34.248076,132.571973,large,#FF0000,#FFFFFF,2
明立小学校,呉市伏原2丁目6-38,34.25490641,132.5768629,large,#FF0000,#FFFFFF,2
両城小学校,呉市三条2丁目15-12,34.247601,132.551447,large,#FF0000,#FFFFFF,2
和庄小学校,呉市八幡町10-7,34.24227,132.569096,large,#FF0000,#FFFFFF,2
荘山田小学校,呉市東中央3丁目1-23,34.2535341,132.5698864,large,#FF0000,#FFFFFF,2
スポーツ会館,呉市二河町1-8,34.254589,132.562996,large,#FF0000,#FFFFFF,2
呉市体育館,呉市中央4丁目1-1,34.250282,132.564007,large,#FF0000,#FFFFFF,2
呉三津田高等学校,呉市山手1丁目5-1,34.251628,132.556774,large,#FF0000,#FFFFFF,2
中央図書館,呉市中央3丁目10-3,34.2469,132.56293,large,#FF0000,#FFFFFF,2
畑老人集会所,呉市東畑2丁目4-35,34.25260074,132.5856337,large,#FF0000,#FFFFFF,2
二川まちづくりセンター,呉市築地町3-1,34.2446085,132.5432645,large,#FF0000,#FFFFFF,2
福祉会館,呉市中央5丁目12-21,34.25022406,132.565721,large,#FF0000,#FFFFFF,2
両城中学校,呉市両城2丁目22-15,34.24845038,132.5488231,large,#FF0000,#FFFFFF,2
和庄中学校,呉市和庄登町3-18,34.244758,132.570701,large,#FF0000,#FFFFFF,2
三条集会所,呉市三条3丁目7-13,34.248915,132.55397,large,#FF0000,#FFFFFF,2
山の手会館,呉市山手2丁目2-1-101,34.256467,132.560012,large,#FF0000,#FFFFFF,2
新宮町自治会館,呉市新宮町13-5,34.2484659,132.5373298,large,#FF0000,#FFFFFF,2
正円寺,呉市海岸1丁目2-13,34.24394284,132.5500488,large,#FF0000,#FFFFFF,2
